projectId,fundingYear,C2B2_relevant,C2B2_keywords,C2B2_comment,projectTitleEn
2022-00373_Formas,2023,5,aquaculture; Scandinavian,,Rearing red sea cucumber for use in circular aquaculture
2023-00743_Vinnova,2023,1,aquaculture; land-based fish farm,,"Integrated circular, climate resilient and highly sustainable food production system."
2022-02611_Formas,2023,2,blue community garden; Göteborg,,A Blue Community Garden in the Port of Gothenburg - Future Food from the Ocean
2022-00605_Formas,2023,1,temperature;aquaculture; epigenetics; possible lab study;,Unclear if it is a lab study,Harnessing epigenetics to induce robustness in rainbow trout for sustainable production in the light of climate change (EpiTrout)
2022-00331_Formas,2023,5,seaweed farming; Scandinavian; Baltic Sea; sustainability;  blue economy,,A manual for the use of sustainable marine resources - Definition of the cultivation potential and commercially relevant compounds of Sea Lettuces (Ulva spp.) along the Swedish coastline
2023-01997_Formas,2023,5,seaweed farming; multiple sectors,,Sustainable use of marine and industrial waters to unlock the potential of seaweeds as a future food source
2023-00132_Vinnova,2023,3,aquaculture; sustainability; blue economy; Nordic  ;  possible lab study;,Unclear if it is a lab study,ForestFeed - A Nordic blue-green value chain from forest to fish filet
2022-02652_Formas,2023,0,seminars,,AGFO transformation A focus on research and the food system of the future
2022-00535_Formas,2023,4,pond system; mark-recapture study;  fish population; sport fishing,,"Towards more sustainable recreational fisheries: Consequences of catch-and-release angling on phenotypes, social networks, and reproductive success in aquatic top-predators"
2022-01414_Formas,2023,0,seafood products ; ,,Raising seafood self-sufficiency aided by agricultural side streams -SEASIDE
2022-00774_Formas,2023,1,aquaculture; temperature,After this row - which projects can be expected to generate DATA that can be re-used?,HEART DEFORMITIES IN INTENSIVELY FARMED FISH: Implications for aquaculture sustainability in a changing world
2022-00348_Formas,2023,0,"Arctic charr; aquaculture; Sweden; fertilitet; Kälarne, Jämtland",farmed röding are fresh-water fish,EpiBreedCharr -  Epigenetic powered breeding in farmed Arctic charr
2022-03589_Vinnova,2023,2,aquaculture; optimization; land-based fish farm,uncear if possible to apply results to ocean-based aquaculture,HIFAI - Sustainable industrial fish production using AI and advanced data analysis - implementation
2023-01964_Formas,2023,1,Baltic Sea; fishing port; seafood products,,THE FUTURE FISHING HARBOUR - sustainable use of the silver of the Baltic sea.
2021-01701_Formas,2022,3,Baltic Sea;  cod; fishing,lab based but with applications to Baltic Sea proper,Phenotypic and genomic variation within the eastern Baltic cod population
2022-01240_Vinnova,2022,0,land-based fish farm,,Fullscale commercial prototype for turn-key sustainable food production
2021-03829_VR,2022,4,seabirds;global; fisheries management,,Prey requirements of the worldÃ¢â‚¬â„¢s seabirds
2021-00826_Formas,2022,5,Gulf of Bothnia; multiple sectors; fishing; seals; decision making; fisheries management; Baltic Sea,,DS-Both: from ecosystem modelling to Decision Support for fisheries and marine wildlife management in the Gulf of Bothnia
2021-00846_Formas,2022,4,underwater soundscape; fish,,Effect of anthropogenic noise on fish in the wild
2021-02262_Formas,2022,0,crustaceans; fishing; animal welfare,,Improving welfare of crustaceans
2022-02826_Vinnova,2022,0,staff exchange; marine ecosystem management,,AI for Sustainable Management of Marine Ecosystems
2022-01700_Formas,2022,5,River Teno; assessments of stocks; multiple sectors; monitoring data; fisheries management,,Recovering diversity in salmon populations and cultures of fishing: the subarctic River Teno basin as a confluence and a Living Lab
2022-02212_Vinnova,2022,0,customer needs; business case; seaweed farming,,KOASTAL
2020-02637_Formas,2021,1,aquaculture; fish growth trials; possible lab study;,Unclear if it is a lab study  only,Sustainable aquaculture feed based on novel biomass from wood by-products
2019-02470_Formas,2019,0,meeting/workshop,,"Mutual learning to achieve economically, ecologically and socially sustainable aquaculture in Sweden"
2020-04692_VR,2020,0,small-scale fisheries; Africa; Pacific; meeting/workshop,,Strengthened collaboration between SLU and WorldFish to climate proof the flow of nutrition from small-scale fisheries in Africa and the Pacific
2019-01625_Formas,2020,1,aquaculture; gut bacteria;  lab study;,Mostly lab,Influence of environmental and host factors on the gut microbiome and lipid metabolism in salmonid fishes
2020-02633_Formas,2021,1,aquaculture; smolt; ,,"Physiology shapes the happy salmon - a systems approach to sustainable feeds for stimulation of growth, welfare and survival in salmon farming"
2018-00869_Formas,2019,0,Arctic charr; aquaculture; ,farmed röding are fresh-water fish,NextGenCharr - application of next generation sequencing for improving Arctic charr farming in Sweden
2019-01159_Formas,2020,1,aquaculture; temperature; fisheries management,probably lab,Targeting heat shock protein 70 by BIOactive compounds: A novel approach to induce robustness of rainbow TROUT for sustainable farming in the light of climate change (BioTrout)
2021-02757_Vinnova,2021,5,seaweed farming; data collection,,AlgAIe - Optimering av algodling med AI - att...
2019-04095_Vinnova,2019,0,seaweed farming; seafood products,,Kelp - Food for the future
2021-03724_Vinnova,2021,0,seafood products ; ,,Blue Biorefining: a holistic solution for increasing resource efficiency in seafood industry (BlueBio)
2020-02635_Formas,2021,0,aquaculture; Recirculating Aquaculture Systems,,Mitigating off-flavour compounds geosmin and 2-methylisoborneol by applying capacitive deionization and nanotechnology in RAS (CDI-NANO-RAS)
2020-02834_Formas,2020,0,aquaculture; seafood products; center,,BLUE FOOD - Centre for the seafood of the future
